instance,method,status,feasible,optimal,objective,best_bound,gap,time_sec
"MVPRP1_10_3_2","alns","ALNS(seed=42,iters=19434,accepted=12966,bestIter=1083,restarts=7)",true,false,27043.694881,NaN,NaN,60.000152
"MVPRP1_10_3_3","alns","ALNS(seed=42,iters=20595,accepted=12898,bestIter=10941,restarts=8)",true,false,27357.482585,NaN,NaN,60.002742
"MVPRP1_10_6_2","alns","ALNS(seed=42,iters=4463,accepted=2991,bestIter=140,restarts=2)",true,false,44203.266068,NaN,NaN,60.000188
"MVPRP1_10_6_3","alns","ALNS(seed=42,iters=7264,accepted=2506,bestIter=2921,restarts=1)",true,false,45223.935420,NaN,NaN,60.000053
"MVPRP1_10_9_2","alns","ALNS(seed=42,iters=2765,accepted=1144,bestIter=1492,restarts=1)",true,false,67739.218875,NaN,NaN,60.000134
"MVPRP1_10_9_3","alns","ALNS(seed=42,iters=3600,accepted=999,bestIter=2334,restarts=1)",true,false,69296.465364,NaN,NaN,60.000027
"MVPRP2_10_3_2","alns","ALNS(seed=42,iters=20461,accepted=17286,bestIter=6124,restarts=4)",true,false,204163.694881,NaN,NaN,60.001085
"MVPRP2_10_3_3","alns","ALNS(seed=42,iters=19583,accepted=17189,bestIter=2513,restarts=0)",true,false,204489.613408,NaN,NaN,60.001247
"MVPRP2_10_6_2","alns","ALNS(seed=42,iters=4570,accepted=2994,bestIter=223,restarts=0)",true,false,371443.266068,NaN,NaN,60.000389
"MVPRP2_10_6_3","alns","ALNS(seed=42,iters=7172,accepted=2580,bestIter=6738,restarts=0)",true,false,372463.935420,NaN,NaN,60.000262
"MVPRP2_10_9_2","alns","ALNS(seed=42,iters=2881,accepted=1279,bestIter=1680,restarts=0)",true,false,572099.218875,NaN,NaN,60.000331
"MVPRP2_10_9_3","alns","ALNS(seed=42,iters=4743,accepted=972,bestIter=3881,restarts=0)",true,false,573761.378862,NaN,NaN,60.000518
"MVPRP3_10_3_2","alns","ALNS(seed=42,iters=20135,accepted=14071,bestIter=60,restarts=13)",true,false,34450.991350,NaN,NaN,60.000202
"MVPRP3_10_3_3","alns","ALNS(seed=42,iters=29502,accepted=15866,bestIter=8377,restarts=20)",true,false,36786.893156,NaN,NaN,60.000076
"MVPRP3_10_6_2","alns","ALNS(seed=42,iters=5117,accepted=2873,bestIter=2441,restarts=2)",true,false,61956.330342,NaN,NaN,60.000026
"MVPRP3_10_6_3","alns","ALNS(seed=42,iters=9310,accepted=2841,bestIter=4164,restarts=3)",true,false,69958.523984,NaN,NaN,60.000271
"MVPRP3_10_9_2","alns","ALNS(seed=42,iters=3013,accepted=1399,bestIter=1144,restarts=1)",true,false,94606.623340,NaN,NaN,60.000351
"MVPRP3_10_9_3","alns","ALNS(seed=42,iters=4889,accepted=1475,bestIter=3327,restarts=1)",true,false,104647.450342,NaN,NaN,60.000037
"MVPRP4_10_3_2","alns","ALNS(seed=42,iters=22850,accepted=11488,bestIter=475,restarts=5)",true,false,21447.362237,NaN,NaN,60.000044
"MVPRP4_10_3_3","alns","ALNS(seed=42,iters=30793,accepted=13628,bestIter=38,restarts=15)",true,false,21710.242373,NaN,NaN,60.000055
"MVPRP4_10_6_2","alns","ALNS(seed=42,iters=4719,accepted=2641,bestIter=1781,restarts=2)",true,false,40798.266068,NaN,NaN,60.061486
"MVPRP4_10_6_3","alns","ALNS(seed=42,iters=7509,accepted=2479,bestIter=6096,restarts=1)",true,false,44631.332304,NaN,NaN,60.000064
"MVPRP4_10_9_2","alns","ALNS(seed=42,iters=2502,accepted=725,bestIter=1332,restarts=0)",true,false,64098.600920,NaN,NaN,60.000399
"MVPRP4_10_9_3","alns","ALNS(seed=42,iters=5232,accepted=1325,bestIter=4144,restarts=1)",true,false,65383.917531,NaN,NaN,60.000105
