instance,method,status,feasible,optimal,objective,best_bound,gap,time_sec
"MVPRP1_10_3_2","alns","ALNS(seed=20260310,iters=22492,accepted=15626,bestIter=3215,restarts=11)",true,false,27043.694881,NaN,NaN,60.000211
"MVPRP1_10_3_3","alns","ALNS(seed=20260310,iters=23668,accepted=15082,bestIter=7372,restarts=9)",true,false,27357.482585,NaN,NaN,60.000018
"MVPRP1_10_6_2","alns","ALNS(seed=20260310,iters=4914,accepted=3365,bestIter=563,restarts=2)",true,false,44203.266068,NaN,NaN,60.000397
"MVPRP1_10_6_3","alns","ALNS(seed=20260310,iters=8331,accepted=2417,bestIter=2704,restarts=1)",true,false,45223.935420,NaN,NaN,60.000077
"MVPRP1_10_9_2","alns","ALNS(seed=20260310,iters=3222,accepted=1384,bestIter=1856,restarts=1)",true,false,67739.218875,NaN,NaN,60.000276
"MVPRP1_10_9_3","alns","ALNS(seed=20260310,iters=4148,accepted=952,bestIter=3839,restarts=0)",true,false,69332.710064,NaN,NaN,60.000185
"MVPRP2_10_3_2","alns","ALNS(seed=20260310,iters=21829,accepted=18351,bestIter=3317,restarts=2)",true,false,204173.584928,NaN,NaN,60.000392
"MVPRP2_10_3_3","alns","ALNS(seed=20260310,iters=21063,accepted=17901,bestIter=538,restarts=1)",true,false,204477.482585,NaN,NaN,60.000180
"MVPRP2_10_6_2","alns","ALNS(seed=20260310,iters=5060,accepted=3351,bestIter=1333,restarts=1)",true,false,371443.266068,NaN,NaN,60.000288
"MVPRP2_10_6_3","alns","ALNS(seed=20260310,iters=7514,accepted=2605,bestIter=6450,restarts=0)",true,false,372463.935420,NaN,NaN,60.000177
"MVPRP2_10_9_2","alns","ALNS(seed=20260310,iters=2980,accepted=1328,bestIter=2739,restarts=0)",true,false,572099.218875,NaN,NaN,60.000223
"MVPRP2_10_9_3","alns","ALNS(seed=20260310,iters=4680,accepted=1115,bestIter=1134,restarts=0)",true,false,573709.332200,NaN,NaN,60.000194
"MVPRP3_10_3_2","alns","ALNS(seed=20260310,iters=20655,accepted=14546,bestIter=135,restarts=13)",true,false,34450.991350,NaN,NaN,60.001241
"MVPRP3_10_3_3","alns","ALNS(seed=20260310,iters=30705,accepted=16824,bestIter=436,restarts=20)",true,false,36786.893156,NaN,NaN,60.000271
"MVPRP3_10_6_2","alns","ALNS(seed=20260310,iters=5484,accepted=3339,bestIter=2091,restarts=3)",true,false,61956.330342,NaN,NaN,60.000059
"MVPRP3_10_6_3","alns","ALNS(seed=20260310,iters=8434,accepted=2933,bestIter=5373,restarts=2)",true,false,69668.040600,NaN,NaN,60.000255
"MVPRP3_10_9_2","alns","ALNS(seed=20260310,iters=3282,accepted=1368,bestIter=1503,restarts=1)",true,false,94606.623340,NaN,NaN,60.000181
"MVPRP3_10_9_3","alns","ALNS(seed=20260310,iters=5397,accepted=1261,bestIter=5337,restarts=0)",true,false,105970.720447,NaN,NaN,60.000166
"MVPRP4_10_3_2","alns","ALNS(seed=20260310,iters=25273,accepted=12368,bestIter=4453,restarts=8)",true,false,21446.395520,NaN,NaN,60.000271
"MVPRP4_10_3_3","alns","ALNS(seed=20260310,iters=33121,accepted=14808,bestIter=2,restarts=14)",true,false,21710.242373,NaN,NaN,60.000247
"MVPRP4_10_6_2","alns","ALNS(seed=20260310,iters=6602,accepted=2081,bestIter=4237,restarts=2)",true,false,41887.531506,NaN,NaN,60.000112
"MVPRP4_10_6_3","alns","ALNS(seed=20260310,iters=8753,accepted=2659,bestIter=5110,restarts=3)",true,false,44843.518492,NaN,NaN,60.000037
"MVPRP4_10_9_2","alns","ALNS(seed=20260310,iters=2624,accepted=918,bestIter=1349,restarts=1)",true,false,63631.098647,NaN,NaN,60.000305
"MVPRP4_10_9_3","alns","ALNS(seed=20260310,iters=4912,accepted=1251,bestIter=3673,restarts=1)",true,false,65599.635488,NaN,NaN,60.000059
