instance,method,status,feasible,optimal,objective,best_bound,gap,time_sec
"MVPRP1_10_3_2","alns","ALNS(seed=20260310,iters=19260,accepted=12833,bestIter=17215,restarts=8)",true,false,27050.830658,NaN,NaN,60.043230
"MVPRP1_10_3_3","alns","ALNS(seed=20260310,iters=22603,accepted=13640,bestIter=12976,restarts=9)",true,false,27357.482585,NaN,NaN,60.000110
"MVPRP1_10_6_2","alns","ALNS(seed=20260310,iters=4581,accepted=3063,bestIter=563,restarts=2)",true,false,44203.266068,NaN,NaN,60.000102
"MVPRP1_10_6_3","alns","ALNS(seed=20260310,iters=7109,accepted=2515,bestIter=2830,restarts=0)",true,false,45225.495791,NaN,NaN,60.000323
"MVPRP1_10_9_2","alns","ALNS(seed=20260310,iters=2703,accepted=1218,bestIter=1833,restarts=0)",true,false,67739.218875,NaN,NaN,60.000085
"MVPRP1_10_9_3","alns","ALNS(seed=20260310,iters=4278,accepted=794,bestIter=3978,restarts=0)",true,false,69335.620811,NaN,NaN,60.000263
"MVPRP2_10_3_2","alns","ALNS(seed=20260310,iters=18182,accepted=14880,bestIter=3251,restarts=3)",true,false,204163.694881,NaN,NaN,60.000204
"MVPRP2_10_3_3","alns","ALNS(seed=20260310,iters=15630,accepted=13456,bestIter=538,restarts=1)",true,false,204477.482585,NaN,NaN,60.113589
"MVPRP2_10_6_2","alns","ALNS(seed=20260310,iters=4196,accepted=2683,bestIter=771,restarts=1)",true,false,371443.266068,NaN,NaN,60.000125
"MVPRP2_10_6_3","alns","ALNS(seed=20260310,iters=5702,accepted=2092,bestIter=859,restarts=0)",true,false,372463.935420,NaN,NaN,60.000260
"MVPRP2_10_9_2","alns","ALNS(seed=20260310,iters=2688,accepted=1193,bestIter=2630,restarts=0)",true,false,572099.218875,NaN,NaN,60.000969
"MVPRP2_10_9_3","alns","ALNS(seed=20260310,iters=3983,accepted=869,bestIter=3752,restarts=0)",true,false,573693.819388,NaN,NaN,60.000417
"MVPRP3_10_3_2","alns","ALNS(seed=20260310,iters=12794,accepted=8669,bestIter=135,restarts=10)",true,false,34450.991350,NaN,NaN,60.000171
"MVPRP3_10_3_3","alns","ALNS(seed=20260310,iters=17642,accepted=9807,bestIter=436,restarts=10)",true,false,36786.893156,NaN,NaN,60.024280
"MVPRP3_10_6_2","alns","ALNS(seed=20260310,iters=3875,accepted=2128,bestIter=1679,restarts=2)",true,false,61956.330342,NaN,NaN,60.001268
"MVPRP3_10_6_3","alns","ALNS(seed=20260310,iters=7849,accepted=1718,bestIter=4021,restarts=3)",true,false,70078.567760,NaN,NaN,60.000204
"MVPRP3_10_9_2","alns","ALNS(seed=20260310,iters=2453,accepted=1059,bestIter=1242,restarts=1)",true,false,95912.810931,NaN,NaN,60.000765
"MVPRP3_10_9_3","alns","ALNS(seed=20260310,iters=3950,accepted=1378,bestIter=2641,restarts=1)",true,false,103064.180944,NaN,NaN,60.000464
"MVPRP4_10_3_2","alns","ALNS(seed=20260310,iters=20458,accepted=9865,bestIter=280,restarts=8)",true,false,21447.362237,NaN,NaN,60.000352
"MVPRP4_10_3_3","alns","ALNS(seed=20260310,iters=29142,accepted=12800,bestIter=2,restarts=13)",true,false,21710.242373,NaN,NaN,60.000007
"MVPRP4_10_6_2","alns","ALNS(seed=20260310,iters=5245,accepted=1970,bestIter=3532,restarts=2)",true,false,41887.531506,NaN,NaN,60.000233
"MVPRP4_10_6_3","alns","ALNS(seed=20260310,iters=7443,accepted=2693,bestIter=3599,restarts=3)",true,false,42159.964418,NaN,NaN,60.000036
"MVPRP4_10_9_2","alns","ALNS(seed=20260310,iters=2732,accepted=781,bestIter=2004,restarts=0)",true,false,63477.386249,NaN,NaN,60.000377
"MVPRP4_10_9_3","alns","ALNS(seed=20260310,iters=5487,accepted=1378,bestIter=4513,restarts=1)",true,false,65125.936716,NaN,NaN,60.000244
